customer_id,customer_code,first_name,last_name,email,segment,preferred_channel,home_region,join_date,age_band,is_churned
1,MC000001,Fatima,Perez,fatima.perez1@example.com,Loyalty Member,Mobile App,West,2018-10-05,35-44,True
2,MC000002,Sofia,Smith,sofia.smith2@example.com,Corporate,Mobile App,West,2019-11-06,18-24,False
3,MC000003,Carlos,Singh,carlos.singh3@example.com,Loyalty Member,Mobile App,East,2020-03-31,25-34,False
4,MC000004,Mei,Johnson,mei.johnson4@example.com,Loyalty Member,In-Store,West,2019-06-13,25-34,False
5,MC000005,Lucas,Thomas,lucas.thomas5@example.com,Corporate,Online,West,2021-10-29,35-44,False
6,MC000006,Noah,Smith,noah.smith6@example.com,Consumer,In-Store,West,2025-03-05,45-54,False
7,MC000007,Mei,Smith,mei.smith7@example.com,Loyalty Member,In-Store,East,2025-04-12,45-54,False
8,MC000008,Ava,Nguyen,ava.nguyen8@example.com,Consumer,Mobile App,Central,2018-07-06,55-64,False
9,MC000009,Yuki,Smith,yuki.smith9@example.com,Consumer,Mobile App,West,2018-04-16,55-64,False
10,MC000010,Mei,Chen,mei.chen10@example.com,Consumer,In-Store,West,2019-10-04,35-44,False
11,MC000011,Diego,Williams,diego.williams11@example.com,Consumer,In-Store,Central,2022-01-05,25-34,False
12,MC000012,Emma,Thomas,emma.thomas12@example.com,Consumer,Mobile App,East,2021-09-17,65+,False
13,MC000013,Diego,Moore,diego.moore13@example.com,Corporate,In-Store,East,2021-06-20,35-44,False
14,MC000014,Omar,Rodriguez,omar.rodriguez14@example.com,Consumer,In-Store,East,2019-06-25,65+,False
15,MC000015,Zara,White,zara.white15@example.com,Consumer,Online,Central,2022-01-24,25-34,True
16,MC000016,Emma,Jones,emma.jones16@example.com,Consumer,Online,East,2019-05-16,25-34,False
17,MC000017,Emma,Patel,emma.patel17@example.com,Consumer,Online,East,2026-04-10,25-34,False
18,MC000018,Ananya,White,ananya.white18@example.com,Consumer,In-Store,Central,2025-12-16,35-44,False
19,MC000019,Ananya,Kim,ananya.kim19@example.com,Consumer,Mobile App,West,2023-02-28,25-34,False
20,MC000020,James,Williams,james.williams20@example.com,Loyalty Member,Mobile App,West,2025-03-28,35-44,False
21,MC000021,Fatima,Kim,fatima.kim21@example.com,Corporate,Online,West,2025-05-15,35-44,False
22,MC000022,Arjun,Nguyen,arjun.nguyen22@example.com,Consumer,Mobile App,West,2020-09-17,45-54,False
23,MC000023,Noah,Rodriguez,noah.rodriguez23@example.com,Loyalty Member,Online,East,2021-05-07,25-34,False
24,MC000024,Isabella,White,isabella.white24@example.com,Consumer,Mobile App,Central,2020-12-30,25-34,False
25,MC000025,Priya,Davis,priya.davis25@example.com,Consumer,In-Store,West,2019-10-24,18-24,True
26,MC000026,Michael,Perez,michael.perez26@example.com,Consumer,In-Store,West,2022-01-16,55-64,True
27,MC000027,Isabella,Martinez,isabella.martinez27@example.com,Consumer,In-Store,West,2025-09-07,18-24,False
28,MC000028,Elizabeth,Jones,elizabeth.jones28@example.com,Corporate,Mobile App,West,2023-08-21,25-34,False
29,MC000029,Carlos,Williams,carlos.williams29@example.com,Consumer,In-Store,Central,2022-08-24,18-24,False
30,MC000030,Michael,Moore,michael.moore30@example.com,Consumer,In-Store,West,2025-09-25,35-44,False
31,MC000031,Arjun,Brown,arjun.brown31@example.com,Consumer,In-Store,Central,2026-03-03,25-34,True
32,MC000032,Patricia,Lopez,patricia.lopez32@example.com,Loyalty Member,In-Store,West,2019-07-11,25-34,False
